time,iter,loss,norm,elo,lr,dt,tok/sec,mfu
08/20/24 06:45:51,15976,0.660245,0.099526,1238.54,1.6555e-04,1365.67,47988.16,12.50
08/20/24 06:45:52,15977,0.638662,0.113801,1238.54,1.6552e-04,1365.17,48005.86,12.54
08/20/24 06:45:54,15978,0.653218,0.092699,1238.54,1.6549e-04,1362.44,48101.95,12.57
08/20/24 06:45:55,15979,0.643287,0.102879,1238.54,1.6546e-04,1361.98,48118.27,12.60
08/20/24 06:45:56,15980,0.642227,0.095644,1238.43,1.6543e-04,1523.84,43007.02,12.50
08/20/24 06:45:58,15981,0.648176,0.123868,1238.43,1.6540e-04,1363.93,48049.38,12.53
08/20/24 06:45:59,15982,0.641992,0.136610,1238.43,1.6537e-04,1365.13,48007.09,12.57
08/20/24 06:46:00,15983,0.629506,0.127725,1238.43,1.6534e-04,1362.48,48100.45,12.60
08/20/24 06:46:02,15984,0.644359,0.098258,1238.43,1.6531e-04,1362.83,48088.08,12.63
08/20/24 06:46:03,15985,0.643298,0.095296,1236.63,1.6528e-04,1547.94,42337.67,12.50
08/20/24 06:46:05,15986,0.648318,0.120222,1236.63,1.6525e-04,1366.53,47958.04,12.53
08/20/24 06:46:06,15987,0.653656,0.130735,1236.63,1.6522e-04,1364.22,48039.23,12.57
08/20/24 06:46:07,15988,0.649852,0.121503,1236.63,1.6519e-04,1362.56,48097.55,12.60
08/20/24 06:46:09,15989,0.653585,0.114769,1236.63,1.6516e-04,1365.20,48004.52,12.63
08/20/24 06:46:10,15990,0.643482,0.083981,1236.62,1.6513e-04,1598.59,40996.17,12.46
08/20/24 06:46:12,15991,0.644375,0.127709,1236.62,1.6510e-04,1365.78,47984.45,12.50
08/20/24 06:46:13,15992,0.640837,0.107472,1236.62,1.6507e-04,1363.64,48059.52,12.54
08/20/24 06:46:15,15993,0.644597,0.117052,1236.62,1.6504e-04,1362.60,48096.45,12.57
08/20/24 06:46:16,15994,0.643800,0.106198,1236.62,1.6501e-04,1368.16,47900.98,12.60
08/20/24 06:46:17,15995,0.652637,0.119986,1233.03,1.6498e-04,1556.86,42094.87,12.47
08/20/24 06:46:19,15996,0.657416,0.114897,1233.03,1.6495e-04,1365.69,47987.41,12.51
08/20/24 06:46:20,15997,0.641116,0.104590,1233.03,1.6492e-04,1362.73,48091.54,12.54
08/20/24 06:46:22,15998,0.647521,0.103648,1233.03,1.6489e-04,1365.38,47998.37,12.58
08/20/24 06:46:23,15999,0.647364,0.117112,1233.03,1.6486e-04,1366.14,47971.59,12.60
08/20/24 06:46:25,16000,0.645015,0.112137,1234.73,1.6483e-04,1655.53,39586.06,12.40
08/20/24 06:46:26,16001,0.647772,0.108933,1234.73,1.6480e-04,1367.66,47918.26,12.45
08/20/24 06:46:27,16002,0.642679,0.103163,1234.73,1.6477e-04,1362.36,48104.89,12.49
08/20/24 06:46:29,16003,0.645890,0.099319,1234.73,1.6474e-04,1365.71,47986.88,12.53
08/20/24 06:46:30,16004,0.628853,0.122695,1234.73,1.6471e-04,1366.40,47962.44,12.56
08/20/24 06:46:32,16005,0.649796,0.104055,1232.78,1.6468e-04,1537.63,42621.39,12.45
08/20/24 06:46:33,16006,0.655582,0.129158,1232.78,1.6465e-04,1365.80,47983.55,12.49
08/20/24 06:46:34,16007,0.640105,0.087873,1232.78,1.6462e-04,1363.70,48057.47,12.53
08/20/24 06:46:36,16008,0.641536,0.108559,1232.78,1.6459e-04,1364.28,48036.97,12.56
08/20/24 06:46:37,16009,0.643115,0.097679,1232.78,1.6456e-04,1366.88,47945.58,12.59
08/20/24 06:46:39,16010,0.635571,0.113799,1235.95,1.6453e-04,1554.11,42169.52,12.46
08/20/24 06:46:40,16011,0.639387,0.109841,1235.95,1.6450e-04,1364.58,48026.35,12.50
08/20/24 06:46:41,16012,0.639975,0.113314,1235.95,1.6447e-04,1366.67,47952.92,12.54
08/20/24 06:46:43,16013,0.654505,0.113773,1235.95,1.6444e-04,1363.27,48072.82,12.57
08/20/24 06:46:44,16014,0.640641,0.105910,1235.95,1.6441e-04,1363.23,48074.09,12.60
08/20/24 06:46:46,16015,0.648418,0.122089,1225.71,1.6438e-04,1566.83,41827.22,12.46
08/20/24 06:46:47,16016,0.648648,0.131607,1225.71,1.6435e-04,1364.46,48030.58,12.50
08/20/24 06:46:48,16017,0.645490,0.108823,1225.71,1.6432e-04,1366.03,47975.55,12.54
08/20/24 06:46:50,16018,0.651829,0.112214,1225.71,1.6429e-04,1365.65,47988.70,12.57
08/20/24 06:46:51,16019,0.639724,0.092796,1225.71,1.6426e-04,1365.20,48004.80,12.60
08/20/24 06:46:53,16020,0.642407,0.107351,1235.57,1.6423e-04,1576.31,41575.69,12.45
08/20/24 06:46:54,16021,0.639927,0.119792,1235.57,1.6420e-04,1365.11,48007.86,12.49
08/20/24 06:46:55,16022,0.634978,0.113346,1235.57,1.6417e-04,1365.10,48008.37,12.53
08/20/24 06:46:57,16023,0.634360,0.101270,1235.57,1.6414e-04,1367.35,47929.20,12.56
08/20/24 06:46:58,16024,0.645985,0.091418,1235.57,1.6411e-04,1364.94,48013.98,12.59
08/20/24 06:47:00,16025,0.638122,0.111635,1236.88,1.6408e-04,1541.05,42526.82,12.47
08/20/24 06:47:01,16026,0.637491,0.109861,1236.88,1.6405e-04,1363.28,48072.35,12.51
08/20/24 06:47:02,16027,0.637626,0.099351,1236.88,1.6402e-04,1366.72,47951.16,12.55
08/20/24 06:47:04,16028,0.641196,0.110415,1236.88,1.6399e-04,1367.63,47919.49,12.58
08/20/24 06:47:05,16029,0.649028,0.095359,1236.88,1.6396e-04,1364.22,48039.22,12.61
08/20/24 06:47:07,16030,0.651342,0.091346,1238.52,1.6393e-04,1539.43,42571.57,12.49
08/20/24 06:47:08,16031,0.651075,0.091251,1238.52,1.6390e-04,1368.30,47895.91,12.52
08/20/24 06:47:09,16032,0.634569,0.106396,1238.52,1.6387e-04,1365.65,47988.85,12.55
08/20/24 06:47:11,16033,0.638814,0.089886,1238.52,1.6384e-04,1366.63,47954.44,12.58
08/20/24 06:47:12,16034,0.652650,0.099775,1238.52,1.6381e-04,1366.36,47963.99,12.61
08/20/24 06:47:14,16035,0.647157,0.117243,1234.55,1.6378e-04,1538.52,42596.90,12.49
08/20/24 06:47:15,16036,0.641536,0.095902,1234.55,1.6375e-04,1366.13,47972.10,12.53
08/20/24 06:47:16,16037,0.644036,0.118897,1234.55,1.6372e-04,1361.86,48122.39,12.56
08/20/24 06:47:18,16038,0.641447,0.106381,1234.55,1.6369e-04,1365.22,48003.92,12.59
08/20/24 06:47:19,16039,0.642071,0.111440,1234.55,1.6366e-04,1365.59,47991.09,12.62
08/20/24 06:47:21,16040,0.649090,0.102105,1233.15,1.6363e-04,1555.78,42124.33,12.49
08/20/24 06:47:22,16041,0.643279,0.096490,1233.15,1.6360e-04,1366.61,47955.27,12.52
08/20/24 06:47:23,16042,0.650351,0.098708,1233.15,1.6357e-04,1368.32,47895.25,12.55
08/20/24 06:47:25,16043,0.641287,0.115415,1233.15,1.6354e-04,1367.90,47909.96,12.58
08/20/24 06:47:26,16044,0.643093,0.102117,1233.15,1.6351e-04,1365.61,47990.12,12.61
08/20/24 06:47:28,16045,0.641540,0.091086,1238.04,1.6348e-04,1558.61,42047.74,12.47
08/20/24 06:47:29,16046,0.650753,0.118353,1238.04,1.6345e-04,1362.75,48091.14,12.52
08/20/24 06:47:30,16047,0.642141,0.098938,1238.04,1.6342e-04,1365.02,48010.92,12.55
08/20/24 06:47:32,16048,0.651204,0.102233,1238.04,1.6339e-04,1365.70,47987.26,12.58
08/20/24 06:47:33,16049,0.649949,0.114254,1238.04,1.6336e-04,1366.68,47952.84,12.61
08/20/24 06:47:35,16050,0.638806,0.122443,1236.00,1.6333e-04,1540.35,42546.14,12.49
08/20/24 06:47:36,16051,0.635907,0.109814,1236.00,1.6330e-04,1364.81,48018.40,12.52
08/20/24 06:47:37,16052,0.638454,0.111170,1236.00,1.6327e-04,1367.81,47913.11,12.56
08/20/24 06:47:39,16053,0.658849,0.130629,1236.00,1.6324e-04,1365.38,47998.27,12.59
08/20/24 06:47:40,16054,0.637393,0.093324,1236.00,1.6321e-04,1365.18,48005.49,12.61
08/20/24 06:47:42,16055,0.644334,0.123561,1230.56,1.6318e-04,1535.74,42673.78,12.50
08/20/24 06:47:43,16056,0.646353,0.123677,1230.56,1.6315e-04,1361.28,48143.04,12.54
08/20/24 06:47:44,16057,0.641978,0.089285,1230.56,1.6312e-04,1362.49,48100.10,12.57
08/20/24 06:47:46,16058,0.646707,0.113304,1230.56,1.6309e-04,1365.98,47977.20,12.60
08/20/24 06:47:47,16059,0.641469,0.104857,1230.56,1.6307e-04,1368.38,47892.98,12.62
08/20/24 06:47:49,16060,0.646028,0.098993,1227.57,1.6304e-04,1587.10,41292.96,12.47
08/20/24 06:47:50,16061,0.638175,0.092419,1227.57,1.6301e-04,1368.18,47900.09,12.50
08/20/24 06:47:51,16062,0.651756,0.118525,1227.57,1.6298e-04,1367.44,47926.14,12.54
08/20/24 06:47:53,16063,0.640586,0.110472,1227.57,1.6295e-04,1366.70,47952.15,12.57
08/20/24 06:47:54,16064,0.640442,0.096492,1227.57,1.6292e-04,1365.37,47998.83,12.60
08/20/24 06:47:56,16065,0.638070,0.140565,1234.28,1.6289e-04,1547.87,42339.49,12.47
08/20/24 06:47:57,16066,0.653743,0.139684,1234.28,1.6286e-04,1364.83,48017.63,12.51
08/20/24 06:47:59,16067,0.636369,0.119297,1234.28,1.6283e-04,1365.92,47979.26,12.55
08/20/24 06:48:00,16068,0.636447,0.122021,1234.28,1.6280e-04,1363.53,48063.43,12.58
08/20/24 06:48:01,16069,0.648766,0.132460,1234.28,1.6277e-04,1363.37,48069.24,12.61
08/20/24 06:48:03,16070,0.641814,0.105404,1243.68,1.6274e-04,1596.58,41047.78,12.45
08/20/24 06:48:04,16071,0.633222,0.108721,1243.68,1.6271e-04,1369.22,47863.70,12.49
08/20/24 06:48:06,16072,0.638634,0.115660,1243.68,1.6268e-04,1365.75,47985.47,12.52
08/20/24 06:48:07,16073,0.638084,0.112599,1243.68,1.6265e-04,1367.24,47932.96,12.55
08/20/24 06:48:08,16074,0.640060,0.110660,1243.68,1.6262e-04,1366.69,47952.46,12.58
08/20/24 06:48:10,16075,0.640728,0.101588,1242.86,1.6259e-04,1590.61,41201.88,12.43
08/20/24 06:48:11,16076,0.643736,0.119904,1242.86,1.6256e-04,1365.30,48001.16,12.47
08/20/24 06:48:13,16077,0.649270,0.120739,1242.86,1.6253e-04,1364.92,48014.45,12.51
08/20/24 06:48:14,16078,0.644731,0.114717,1242.86,1.6250e-04,1363.78,48054.83,12.55
08/20/24 06:48:15,16079,0.643071,0.113819,1242.86,1.6247e-04,1364.50,48029.41,12.58
08/20/24 06:48:17,16080,0.646896,0.102754,1242.18,1.6244e-04,1521.25,43080.43,12.48
08/20/24 06:48:18,16081,0.645858,0.118086,1242.18,1.6241e-04,1365.57,47991.73,12.51
08/20/24 06:48:20,16082,0.653986,0.109428,1242.18,1.6238e-04,1365.54,47992.88,12.55
08/20/24 06:48:21,16083,0.634490,0.123393,1242.18,1.6235e-04,1361.73,48126.94,12.58
08/20/24 06:48:22,16084,0.641170,0.102595,1242.18,1.6232e-04,1364.13,48042.40,12.61
08/20/24 06:48:24,16085,0.643939,0.087968,1228.77,1.6229e-04,1612.79,40635.28,12.44
08/20/24 06:48:25,16086,0.650922,0.107981,1228.77,1.6226e-04,1363.58,48061.76,12.48
08/20/24 06:48:27,16087,0.648186,0.099533,1228.77,1.6223e-04,1369.09,47868.37,12.52
08/20/24 06:48:28,16088,0.639138,0.117779,1228.77,1.6220e-04,1365.72,47986.48,12.55
08/20/24 06:48:29,16089,0.638525,0.108036,1228.77,1.6217e-04,1366.67,47952.89,12.58
08/20/24 06:48:31,16090,0.622774,0.099413,1226.42,1.6214e-04,1561.55,41968.61,12.45
08/20/24 06:48:32,16091,0.633884,0.095890,1226.42,1.6211e-04,1367.44,47925.97,12.49
08/20/24 06:48:34,16092,0.638207,0.111927,1226.42,1.6209e-04,1362.67,48093.66,12.53
08/20/24 06:48:35,16093,0.627820,0.116916,1226.42,1.6206e-04,1362.86,48087.13,12.56
08/20/24 06:48:36,16094,0.642732,0.123597,1226.42,1.6203e-04,1363.60,48061.11,12.59
08/20/24 06:48:38,16095,0.635368,0.103225,1233.11,1.6200e-04,1539.04,42582.47,12.48
08/20/24 06:48:39,16096,0.639615,0.103505,1233.11,1.6197e-04,1366.67,47952.93,12.51
08/20/24 06:48:41,16097,0.637305,0.104529,1233.11,1.6194e-04,1365.18,48005.29,12.55
08/20/24 06:48:42,16098,0.651640,0.103004,1233.11,1.6191e-04,1361.63,48130.69,12.58
08/20/24 06:48:43,16099,0.658156,0.101831,1233.11,1.6188e-04,1363.51,48064.02,12.61
08/20/24 06:48:45,16100,0.640043,0.132420,1231.89,1.6185e-04,1552.62,42210.05,12.48
08/20/24 06:48:46,16101,0.645579,0.104014,1231.89,1.6182e-04,1362.21,48110.07,12.52
08/20/24 06:48:48,16102,0.644352,0.104944,1231.89,1.6179e-04,1360.82,48159.14,12.56
08/20/24 06:48:49,16103,0.636254,0.106007,1231.89,1.6176e-04,1364.75,48020.64,12.59
08/20/24 06:48:50,16104,0.635657,0.128117,1231.89,1.6173e-04,1364.96,48013.30,12.62
08/20/24 06:48:52,16105,0.641748,0.123308,1235.36,1.6170e-04,1559.34,42028.10,12.48
08/20/24 06:48:53,16106,0.646016,0.104485,1235.36,1.6167e-04,1366.37,47963.53,12.52
08/20/24 06:48:55,16107,0.654864,0.101030,1235.36,1.6164e-04,1362.30,48106.88,12.56
08/20/24 06:48:56,16108,0.643461,0.104423,1235.36,1.6161e-04,1363.52,48064.00,12.59
08/20/24 06:48:57,16109,0.642704,0.112600,1235.36,1.6158e-04,1364.30,48036.39,12.62
08/20/24 06:48:59,16110,0.652035,0.101621,1231.88,1.6155e-04,1557.82,42069.04,12.48
08/20/24 06:49:00,16111,0.648714,0.106762,1231.88,1.6152e-04,1366.58,47956.06,12.52
