time,iter,loss,norm,elo,lr,dt,tok/sec,mfu
08/19/24 20:35:34, 5284,0.774082,0.167404,630.65,5.3178e-04,1365.77,47984.64,12.59
08/19/24 20:35:36, 5285,0.757101,0.173006,627.56,5.3175e-04,1607.19,40776.77,12.42
08/19/24 20:35:37, 5286,0.751484,0.204616,627.56,5.3173e-04,1361.07,48150.46,12.47
08/19/24 20:35:39, 5287,0.765854,0.192586,627.56,5.3170e-04,1363.74,48056.00,12.51
08/19/24 20:35:40, 5288,0.752806,0.198711,627.56,5.3168e-04,1365.10,48008.10,12.55
08/19/24 20:35:41, 5289,0.761453,0.154292,627.56,5.3165e-04,1364.80,48018.75,12.58
08/19/24 20:35:43, 5290,0.761395,0.168146,631.77,5.3163e-04,1603.32,40875.11,12.42
08/19/24 20:35:44, 5291,0.760408,0.177985,631.77,5.3160e-04,1364.33,48035.15,12.46
08/19/24 20:35:46, 5292,0.766275,0.171920,631.77,5.3158e-04,1367.30,47931.07,12.50
08/19/24 20:35:47, 5293,0.754900,0.155853,631.77,5.3155e-04,1365.59,47991.00,12.54
08/19/24 20:35:48, 5294,0.750284,0.154770,631.77,5.3153e-04,1367.27,47932.09,12.57
08/19/24 20:35:50, 5295,0.759740,0.142722,630.92,5.3150e-04,1589.68,41225.96,12.41
08/19/24 20:35:51, 5296,0.755437,0.130520,630.92,5.3148e-04,1363.42,48067.39,12.46
08/19/24 20:35:53, 5297,0.759983,0.138789,630.92,5.3145e-04,1364.67,48023.26,12.50
08/19/24 20:35:54, 5298,0.751698,0.144795,630.92,5.3143e-04,1365.60,47990.77,12.54
08/19/24 20:35:56, 5299,0.741030,0.111835,630.92,5.3140e-04,1365.77,47984.75,12.57
08/19/24 20:35:57, 5300,0.764239,0.130433,629.05,5.3138e-04,1606.19,40802.19,12.41
08/19/24 20:35:59, 5301,0.745995,0.142544,629.05,5.3135e-04,1365.56,47992.15,12.45
08/19/24 20:36:00, 5302,0.755163,0.132274,629.05,5.3133e-04,1366.74,47950.73,12.49
08/19/24 20:36:01, 5303,0.751072,0.108682,629.05,5.3130e-04,1364.98,48012.42,12.53
08/19/24 20:36:03, 5304,0.762673,0.134050,629.05,5.3128e-04,1362.12,48113.21,12.56
08/19/24 20:36:04, 5305,0.746125,0.122268,623.04,5.3125e-04,1640.88,39939.66,12.38
08/19/24 20:36:06, 5306,0.745883,0.119646,623.04,5.3122e-04,1367.41,47927.22,12.42
08/19/24 20:36:07, 5307,0.761340,0.121351,623.04,5.3120e-04,1364.05,48045.26,12.47
08/19/24 20:36:08, 5308,0.752641,0.130841,623.04,5.3117e-04,1365.47,47995.24,12.51
08/19/24 20:36:10, 5309,0.756394,0.131814,623.04,5.3115e-04,1365.62,47990.04,12.54
08/19/24 20:36:11, 5310,0.744227,0.132037,621.79,5.3112e-04,1599.07,40983.92,12.39
08/19/24 20:36:13, 5311,0.745559,0.132659,621.79,5.3110e-04,1366.58,47956.20,12.43
08/19/24 20:36:14, 5312,0.739427,0.126759,621.79,5.3107e-04,1365.96,47977.97,12.48
08/19/24 20:36:15, 5313,0.752711,0.135569,621.79,5.3105e-04,1367.56,47921.97,12.51
08/19/24 20:36:17, 5314,0.758566,0.146203,621.79,5.3102e-04,1365.69,47987.43,12.55
08/19/24 20:36:18, 5315,0.749810,0.162390,633.49,5.3100e-04,1703.52,38470.98,12.32
08/19/24 20:36:20, 5316,0.744790,0.138628,633.49,5.3097e-04,1363.07,48079.54,12.38
08/19/24 20:36:21, 5317,0.756048,0.142060,633.49,5.3095e-04,1365.40,47997.75,12.43
08/19/24 20:36:23, 5318,0.757460,0.158684,633.49,5.3092e-04,1366.17,47970.48,12.47
08/19/24 20:36:24, 5319,0.755158,0.186723,633.49,5.3090e-04,1365.47,47995.32,12.51
08/19/24 20:36:26, 5320,0.763810,0.193505,633.40,5.3087e-04,1702.39,38496.45,12.29
08/19/24 20:36:27, 5321,0.758100,0.219702,633.40,5.3085e-04,1369.59,47850.65,12.34
08/19/24 20:36:28, 5322,0.766880,0.198694,633.40,5.3082e-04,1366.93,47944.11,12.39
08/19/24 20:36:30, 5323,0.753305,0.136683,633.40,5.3080e-04,1367.35,47929.32,12.44
08/19/24 20:36:31, 5324,0.754272,0.197463,633.40,5.3077e-04,1364.46,48030.77,12.48
08/19/24 20:36:33, 5325,0.754591,0.134657,636.59,5.3074e-04,1592.93,41141.68,12.33
08/19/24 20:36:34, 5326,0.750916,0.138966,636.59,5.3072e-04,1366.59,47955.80,12.39
08/19/24 20:36:35, 5327,0.753988,0.177637,636.59,5.3069e-04,1365.56,47991.98,12.43
08/19/24 20:36:37, 5328,0.749051,0.143942,636.59,5.3067e-04,1361.07,48150.25,12.48
08/19/24 20:36:38, 5329,0.741262,0.139121,636.59,5.3064e-04,1366.87,47946.12,12.52
08/19/24 20:36:40, 5330,0.744359,0.192184,635.11,5.3062e-04,1594.61,41098.35,12.37
08/19/24 20:36:41, 5331,0.760182,0.136552,635.11,5.3059e-04,1366.54,47957.52,12.41
08/19/24 20:36:42, 5332,0.741534,0.143110,635.11,5.3057e-04,1363.73,48056.33,12.46
08/19/24 20:36:44, 5333,0.738973,0.164303,635.11,5.3054e-04,1363.98,48047.67,12.50
08/19/24 20:36:45, 5334,0.753960,0.134904,635.11,5.3052e-04,1363.59,48061.25,12.54
08/19/24 20:36:47, 5335,0.748507,0.149906,640.44,5.3049e-04,1601.00,40934.48,12.38
08/19/24 20:36:48, 5336,0.745026,0.148966,640.44,5.3047e-04,1365.54,47992.72,12.43
08/19/24 20:36:50, 5337,0.753818,0.132129,640.44,5.3044e-04,1364.80,48018.77,12.47
08/19/24 20:36:51, 5338,0.744003,0.133700,640.44,5.3042e-04,1364.05,48045.15,12.51
08/19/24 20:36:52, 5339,0.756216,0.143502,640.44,5.3039e-04,1367.17,47935.45,12.55
08/19/24 20:36:54, 5340,0.759430,0.163076,640.35,5.3036e-04,1572.44,41677.80,12.41
08/19/24 20:36:55, 5341,0.747754,0.140787,640.35,5.3034e-04,1364.48,48029.98,12.45
08/19/24 20:36:57, 5342,0.763375,0.182679,640.35,5.3031e-04,1365.84,47982.23,12.49
08/19/24 20:36:58, 5343,0.742239,0.122476,640.35,5.3029e-04,1365.59,47990.87,12.53
08/19/24 20:36:59, 5344,0.763054,0.136395,640.35,5.3026e-04,1362.49,48099.99,12.57
08/19/24 20:37:01, 5345,0.747781,0.133927,640.32,5.3024e-04,1573.00,41663.12,12.43
08/19/24 20:37:02, 5346,0.750773,0.132807,640.32,5.3021e-04,1364.86,48016.54,12.47
08/19/24 20:37:04, 5347,0.756143,0.134826,640.32,5.3019e-04,1366.32,47965.17,12.51
